GameNo;SouthHcp;SouthControls;NorthHcp;NorthControls;HandType;NTTricks;SuitTricks;SumControls;SumHcp;NTMaxLength
1;14;4;17;5;other;11;-1;9;31;4
2;14;4;16;6;onesuit;12;12;10;30;5
3;16;5;15;4;onesuit;12;12;9;31;5
4;11;4;15;4;onesuit;11;11;8;26;5
5;11;3;17;7;other;11;-1;10;28;5
6;12;5;15;3;ntshape;7;-1;8;27;5
7;11;3;17;7;ntshape;12;-1;10;28;4
8;13;3;15;5;onesuit;11;11;8;28;5
9;11;3;15;4;onesuit;10;10;7;26;5
10;13;5;16;6;onesuit;13;13;11;29;4
11;14;4;15;6;other;11;-1;10;29;5
12;11;4;17;5;other;6;-1;9;28;4
13;12;4;16;5;onesuit;12;12;9;28;4
14;15;4;17;5;other;12;-1;9;32;4
15;15;5;17;6;other;13;-1;11;32;5
16;14;4;17;7;ntshape;11;-1;11;31;4
17;13;3;16;6;other;11;-1;9;29;4
18;14;3;15;6;ntshape;11;-1;9;29;4
19;15;5;15;6;ntshape;11;-1;11;30;5
20;12;4;16;6;ntshape;11;-1;10;28;5
21;13;5;16;4;ntshape;11;-1;9;29;5
22;11;3;17;5;ntshape;9;-1;8;28;4
23;12;4;15;5;other;10;-1;9;27;5
24;14;5;16;5;other;12;-1;10;30;4
25;11;4;17;6;onesuit;13;13;10;28;5
26;15;4;15;6;twosuit;12;-1;10;30;4
27;12;3;16;7;other;12;-1;10;28;4
28;11;2;15;5;other;7;-1;7;26;4
29;17;6;15;5;ntshape;12;-1;11;32;5
30;11;4;15;4;other;8;-1;8;26;4
31;15;5;15;5;onesuit;12;12;10;30;5
32;17;5;15;5;other;12;-1;10;32;5
33;11;2;16;5;ntshape;9;-1;7;27;4
34;11;2;16;5;twosuit;9;-1;7;27;4
35;14;5;15;5;ntshape;12;-1;10;29;5
36;13;4;16;5;ntshape;9;-1;9;29;5
37;13;4;16;6;ntshape;10;-1;10;29;4
38;12;4;15;5;ntshape;8;-1;9;27;4
39;11;3;16;4;other;9;-1;7;27;4
40;11;2;16;6;ntshape;8;-1;8;27;4
41;15;5;16;6;onesuit;13;13;11;31;4
42;14;4;15;5;ntshape;10;-1;9;29;4
43;15;7;16;3;ntshape;11;-1;10;31;4
44;11;4;17;5;ntshape;11;-1;9;28;4
45;16;7;16;3;ntshape;11;-1;10;32;4
46;15;5;15;4;other;9;-1;9;30;4
47;11;3;15;6;other;11;-1;9;26;5
48;15;4;17;6;ntshape;12;-1;10;32;4
49;15;6;15;5;ntshape;12;-1;11;30;4
50;12;4;16;6;ntshape;10;-1;10;28;4
51;15;5;17;7;other;13;-1;12;32;4
52;11;3;17;7;other;12;-1;10;28;5
53;15;5;17;6;ntshape;11;-1;11;32;4
54;13;4;16;6;other;11;-1;10;29;4
55;11;5;15;4;ntshape;10;-1;9;26;4
56;11;3;16;6;ntshape;11;-1;9;27;4
57;14;6;16;3;other;7;-1;9;30;4
58;11;3;17;7;other;11;-1;10;28;4
59;13;5;17;5;ntshape;11;-1;10;30;4
60;14;6;16;5;ntshape;11;-1;11;30;4
61;12;3;15;4;other;9;-1;7;27;5
62;15;5;15;4;ntshape;12;-1;9;30;5
63;11;3;17;4;ntshape;9;-1;7;28;4
64;13;5;15;5;ntshape;10;-1;10;28;4
65;13;4;16;5;onesuit;12;12;9;29;5
66;15;5;16;4;other;12;-1;9;31;4
67;13;3;15;4;other;10;-1;7;28;5
68;11;3;15;5;ntshape;9;-1;8;26;4
69;15;4;15;5;ntshape;10;-1;9;30;4
70;17;7;15;4;onesuit;13;13;11;32;4
71;14;3;15;6;ntshape;10;-1;9;29;4
72;13;4;15;6;ntshape;10;-1;10;28;5
73;13;4;17;6;ntshape;10;-1;10;30;4
74;11;2;17;7;other;9;-1;9;28;4
75;13;4;15;7;ntshape;10;-1;11;28;4
76;13;4;15;4;ntshape;9;-1;8;28;4
77;16;5;15;4;other;12;-1;9;31;5
78;12;2;15;5;other;10;-1;7;27;5
79;11;3;15;6;ntshape;10;-1;9;26;4
80;14;6;15;3;ntshape;9;-1;9;29;4
81;11;2;16;6;ntshape;10;-1;8;27;5
82;14;4;17;7;ntshape;11;-1;11;31;4
83;14;4;15;6;other;10;-1;10;29;4
84;11;4;15;5;ntshape;10;-1;9;26;4
85;16;5;17;5;ntshape;12;-1;10;33;5
86;13;4;15;5;ntshape;12;-1;9;28;5
87;11;2;17;6;onesuit;11;11;8;28;5
88;15;5;15;5;other;12;-1;10;30;4
89;13;4;15;5;ntshape;9;-1;9;28;5
90;12;3;16;5;other;10;-1;8;28;4
91;12;4;15;5;ntshape;8;-1;9;27;5
92;11;4;15;5;ntshape;9;-1;9;26;4
93;13;4;15;6;other;10;-1;10;28;4
94;11;3;17;6;other;9;-1;9;28;4
95;11;2;17;7;ntshape;9;-1;9;28;4
96;15;4;15;6;ntshape;10;-1;10;30;4
97;12;3;16;6;other;9;-1;9;28;4
98;13;5;15;4;ntshape;11;-1;9;28;5
99;12;4;16;5;ntshape;10;-1;9;28;4
100;12;4;15;6;other;10;-1;10;27;4
101;16;6;17;6;other;13;-1;12;33;5
102;12;4;15;4;other;11;-1;8;27;5
103;17;7;16;4;other;12;-1;11;33;4
104;12;4;16;5;other;10;-1;9;28;4
105;12;4;15;4;other;10;-1;8;27;4
106;15;5;16;5;ntshape;12;-1;10;31;4
107;13;4;15;6;ntshape;8;-1;10;28;4
108;12;3;15;5;ntshape;8;-1;8;27;4
109;11;3;15;4;other;10;-1;7;26;4
110;12;3;16;6;ntshape;10;-1;9;28;4
111;11;5;17;4;other;10;-1;9;28;4
112;12;4;16;6;ntshape;11;-1;10;28;5
113;13;4;15;5;onesuit;11;11;9;28;4
114;14;3;15;5;other;8;-1;8;29;4
115;13;4;17;6;other;13;-1;10;30;4
116;13;5;17;5;ntshape;10;-1;10;30;5
117;11;4;15;4;ntshape;9;-1;8;26;4
118;15;4;16;6;ntshape;12;-1;10;31;4
119;12;3;15;5;onesuit;9;9;8;27;4
120;15;6;15;5;other;12;-1;11;30;4
121;12;3;15;5;other;8;-1;8;27;4
122;16;5;15;6;twosuit;12;-1;11;31;4
123;11;2;16;7;ntshape;11;-1;9;27;4
124;11;3;16;6;onesuit;10;11;9;27;4
125;13;5;17;4;other;10;-1;9;30;4
126;12;4;15;6;other;10;-1;10;27;4
127;11;3;15;4;ntshape;10;-1;7;26;4
128;13;4;17;6;twosuit;13;-1;10;30;4
129;14;4;15;5;onesuit;11;11;9;29;4
130;11;2;15;5;ntshape;9;-1;7;26;4
131;13;4;16;5;other;10;-1;9;29;4
132;11;4;15;4;ntshape;9;-1;8;26;4
133;11;4;15;4;onesuit;11;11;8;26;4
134;14;5;15;4;ntshape;11;-1;9;29;4
135;11;3;16;6;other;11;-1;9;27;4
136;12;5;15;4;ntshape;9;-1;9;27;4
137;12;3;15;6;other;11;-1;9;27;4
138;13;4;15;5;ntshape;10;-1;9;28;4
139;11;2;15;6;other;10;-1;8;26;5
140;11;3;15;4;ntshape;10;-1;7;26;4
141;12;2;16;8;ntshape;9;-1;10;28;4
142;11;2;17;7;ntshape;12;-1;9;28;4
143;11;3;17;6;onesuit;12;12;9;28;5
144;15;4;15;5;other;11;-1;9;30;4
145;13;2;17;7;ntshape;11;-1;9;30;4
146;11;3;16;7;onesuit;13;13;10;27;4
147;13;5;17;4;ntshape;12;-1;9;30;4
148;13;4;15;5;onesuit;6;12;9;28;4
149;12;4;15;5;ntshape;10;-1;9;27;4
150;11;3;16;6;other;11;-1;9;27;4
151;13;3;15;7;other;12;-1;10;28;4
152;12;4;15;4;ntshape;8;-1;8;27;4
153;15;5;17;6;twosuit;12;-1;11;32;4
154;13;5;17;4;ntshape;11;-1;9;30;4
155;11;5;17;5;onesuit;10;12;10;28;4
156;12;3;17;5;other;11;-1;8;29;5
157;15;5;16;5;ntshape;13;-1;10;31;5
158;11;4;15;6;ntshape;8;-1;10;26;4
159;12;4;15;4;ntshape;9;-1;8;27;5
160;12;3;16;5;other;5;-1;8;28;4
161;17;5;15;4;other;8;-1;9;32;5
162;11;3;15;5;other;10;-1;8;26;4
163;13;5;15;4;ntshape;8;-1;9;28;4
164;12;4;15;5;ntshape;9;-1;9;27;4
165;11;2;17;5;ntshape;8;-1;7;28;4
166;15;4;15;5;ntshape;11;-1;9;30;4
167;11;3;16;5;ntshape;9;-1;8;27;4
168;13;4;16;5;onesuit;9;11;9;29;4
169;11;2;15;5;ntshape;9;-1;7;26;4
170;14;4;17;7;other;13;-1;11;31;4
171;11;2;15;4;ntshape;8;-1;6;26;4
172;13;4;16;5;other;11;-1;9;29;5
173;12;4;15;5;ntshape;10;-1;9;27;5
174;11;4;16;5;ntshape;10;-1;9;27;5
175;12;4;16;6;other;12;-1;10;28;4
176;14;5;15;5;other;12;-1;10;29;5
177;16;5;15;5;other;12;-1;10;31;5
178;14;3;17;7;ntshape;13;-1;10;31;4
179;11;3;15;6;twosuit;7;-1;9;26;4
180;11;4;16;5;twosuit;10;-1;9;27;5
181;12;5;15;5;ntshape;11;-1;10;27;5
182;12;4;16;5;ntshape;10;-1;9;28;4
183;12;2;16;6;ntshape;11;-1;8;28;4
184;11;4;15;3;ntshape;7;-1;7;26;5
185;15;5;15;5;ntshape;12;-1;10;30;4
186;11;3;17;6;ntshape;12;-1;9;28;4
187;13;3;16;6;other;12;-1;9;29;5
188;11;5;17;6;ntshape;9;-1;11;28;4
189;14;5;15;3;other;10;-1;8;29;4
190;11;2;15;5;other;10;-1;7;26;4
191;11;2;16;5;ntshape;7;-1;7;27;4
192;12;3;16;6;other;11;-1;9;28;5
193;16;5;15;5;ntshape;11;-1;10;31;5
194;12;4;17;7;ntshape;11;-1;11;29;4
195;12;3;15;6;ntshape;8;-1;9;27;4
196;13;3;16;6;ntshape;11;-1;9;29;4
197;11;4;15;6;ntshape;9;-1;10;26;4
198;17;6;15;6;ntshape;11;-1;12;32;4
199;13;5;16;4;ntshape;11;-1;9;29;5
200;11;3;17;6;other;10;-1;9;28;4
201;12;4;15;6;ntshape;9;-1;10;27;5
202;13;5;16;6;other;12;-1;11;29;4
203;14;4;16;5;other;11;-1;9;30;4
204;11;3;16;5;ntshape;11;-1;8;27;4
205;12;3;15;6;other;10;-1;9;27;4
206;13;6;16;5;ntshape;11;-1;11;29;4
207;11;2;16;6;other;10;-1;8;27;4
208;11;3;16;6;twosuit;10;-1;9;27;5
209;13;3;15;5;other;7;-1;8;28;4
210;12;4;17;4;ntshape;11;-1;8;29;5
211;11;4;16;6;other;12;-1;10;27;5
212;14;5;16;6;other;12;-1;11;30;4
213;12;5;15;4;other;12;-1;9;27;4
214;15;4;15;6;other;11;-1;10;30;4
215;12;3;15;7;ntshape;9;-1;10;27;4
216;16;5;16;5;ntshape;12;-1;10;32;4
217;11;2;16;5;other;8;-1;7;27;4
218;16;4;15;6;other;12;-1;10;31;4
219;13;3;15;6;ntshape;11;-1;9;28;5
220;11;2;15;6;other;10;-1;8;26;4
221;12;4;15;6;ntshape;10;-1;10;27;4
222;13;4;15;5;ntshape;10;-1;9;28;5
223;15;5;15;6;ntshape;11;-1;11;30;4
224;13;5;17;5;other;12;-1;10;30;5
225;11;3;16;6;onesuit;10;12;9;27;4
226;11;4;16;4;other;10;-1;8;27;4
227;11;4;15;6;ntshape;11;-1;10;26;5
228;14;5;16;5;ntshape;11;-1;10;30;4
229;14;5;16;5;ntshape;12;-1;10;30;4
230;11;4;16;6;other;11;-1;10;27;4
231;13;4;17;6;ntshape;11;-1;10;30;4
232;11;5;16;6;onesuit;11;11;11;27;4
233;13;4;15;5;twosuit;11;-1;9;28;5
234;13;4;16;4;other;6;-1;8;29;4
235;14;4;17;7;onesuit;13;13;11;31;4
236;12;4;15;5;onesuit;11;11;9;27;4
237;13;5;15;5;ntshape;11;-1;10;28;5
238;13;5;16;4;ntshape;11;-1;9;29;5
239;13;5;16;4;ntshape;11;-1;9;29;5
240;13;4;15;5;other;11;-1;9;28;4
241;11;3;15;4;ntshape;10;-1;7;26;4
242;11;3;16;6;onesuit;12;12;9;27;4
243;11;4;16;4;other;9;-1;8;27;4
244;12;4;15;3;ntshape;9;-1;7;27;4
245;13;5;16;4;ntshape;11;-1;9;29;4
246;17;5;16;5;ntshape;12;-1;10;33;5
247;12;4;15;5;ntshape;8;-1;9;27;4
248;13;5;17;4;twosuit;11;-1;9;30;4
249;15;6;15;4;twosuit;13;-1;10;30;5
250;12;3;15;6;ntshape;7;-1;9;27;4
251;13;5;15;3;ntshape;8;-1;8;28;4
252;15;6;16;6;ntshape;11;-1;12;31;4
253;14;5;16;5;other;12;-1;10;30;5
254;12;4;16;6;onesuit;8;11;10;28;4
255;17;5;15;5;ntshape;12;-1;10;32;5
256;11;3;15;5;ntshape;10;-1;8;26;4
257;12;5;15;4;twosuit;10;-1;9;27;4
258;13;4;15;6;ntshape;11;-1;10;28;5
259;11;4;16;6;ntshape;9;-1;10;27;4
260;11;5;15;2;ntshape;9;-1;7;26;4
261;11;3;15;4;onesuit;10;10;7;26;4
262;13;3;15;7;ntshape;10;-1;10;28;4
263;11;3;15;6;ntshape;9;-1;9;26;5
264;11;4;16;6;other;11;-1;10;27;4
265;11;2;16;6;onesuit;10;11;8;27;4
266;12;3;16;6;ntshape;10;-1;9;28;4
267;12;4;15;4;twosuit;6;-1;8;27;5
268;17;6;16;5;ntshape;12;-1;11;33;4
269;13;6;15;3;other;8;-1;9;28;5
270;13;4;16;5;ntshape;11;-1;9;29;4
271;13;2;15;6;other;9;-1;8;28;5
272;16;5;16;6;twosuit;13;-1;11;32;4
273;15;6;15;5;ntshape;11;-1;11;30;4
274;12;4;15;5;other;8;-1;9;27;4
275;14;3;17;6;other;11;-1;9;31;4
