K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
J9742 AK6 KJ2 A8|65 JT52 75 QJ763|KT Q83 AQ98643 K|AQ83 974 T T9542
762 AKQJ8 Q5 K92|T9 T43 KJ862 T43|AKQJ53 952 A7 Q7|84 76 T943 AJ865
KQT94 K5 KJT K83|32 Q974 96432 76|A87 T2 87 AQJT54|J65 AJ863 AQ5 92
84 AK7 A64 AQT92|75 JT853 972 K84|AQJ2 964 KJT53 5|KT963 Q2 Q8 J763
QJ2 KQ652 Q3 AJ8|T93 3 AKT854 KQT|AK65 AJ84 62 952|874 T97 J97 7643
AT3 AJT2 AKJ4 64|J92 96543 6 AJ93|K84 K87 9752 KQT|Q765 Q QT83 8752
Q93 AKQT5 A4 987|K862 J962 872 J2|JT7 8 QJT AKQT43|A54 743 K9653 65
QT5 K42 K4 AQJ63|K74 Q87653 2 T84|83 JT AQJ983 K97|AJ962 A9 T765 52
AJ65 AK65 JT6 K8|T8 JT972 753 J96|K3 84 AQ9842 AT7|Q9742 Q3 K Q5432
AK973 K42 74 AJ7|J864 J73 932 865|Q52 6 AK65 KQ432|T AQT985 QJT8 T9
KQ2 AT3 KQ86 K63|T5 764 7 AQJT975|AJ9863 J5 AJT9 2|74 KQ982 5432 84
QJ7 AQ86 AK52 72|K9 J97 QJ AT9854|AT8543 K54 6 KQ6|62 T32 T98743 J3
K52 AKT5 J7 KQJ4|863 J92 T96 A753|AQJ7 Q83 AQ832 T|T94 764 K54 9862
KJ T63 AK762 AQT|T842 Q842 84 984|AQ963 AK95 Q3 52|75 J7 JT95 KJ763
AT4 A82 Q86 AK53|Q5 KT74 T753 Q86|K873 Q6 AKJ4 JT9|J962 J953 92 742
Q97 AK72 AK65 52|T8653 T5 8 K9643|KJ4 J JT32 AQJ87|A2 Q98643 Q974 T
AT73 J93 AJ76 AJ|2 KT654  KQ85432|KQJ8 AQ7 Q852 96|9654 82 KT943 T7
T8 AT8 AJ753 AQT|74 J64 KQ64 8542|AKQ62 K9 T98 K63|J953 Q7532 2 J97
KQT A94 A8 K7542|J6 K53 T7654 T86|A985 Q762 Q9 A93|7432 JT8 KJ32 QJ
QJ AK742 KQ7 J92|T8 QJ96 T52 T765|A9732 83 A94 KQ4|K654 T5 J863 A83
KQ6 AKQ5 K5 T732|952 J972 AQ92 J8|JT3 84 J743 AKQ9|A874 T63 T86 654
A86 J6 AKQ54 J93|QT2 T3 9632 A852|K753 A9872  KQ76|J94 KQ54 JT87 T4
AKQJ A95 94 Q973|T84 QJT63 KT2 J6|72 K2 AQJ75 AT42|9653 874 863 K85
AK542 KJ2 A4 Q92|J9876 T75 T KJ53| A83 QJ987653 A4|QT3 Q964 K2 T876
AK7 62 J984 AK76|Q A5 7632 QJ9432|93 KQJ43 AKQT5 5|JT86542 T987  T8
A85 AK76 A63 JT8|73 J3 Q98754 K94|KQJ964 Q982  A53|T2 T54 KJT2 Q762
T72 AKQ AQT4 985|AQ965 87643 9 64|J3 J KJ82 KQT732|K84 T952 7653 AJ
AT7 AKQ52 87 Q82|J9863 87 J J9753|Q4 JT63 AK53 AK4|K52 94 QT9642 T6
Q954 J5 AJ6 AQJ2|A KQ764 QT974 T3|JT873 A32 K K865|K62 T98 8532 974
AKQ A8764 97 Q87|765 Q93 Q83 J962|92 KJ KJT542 AK4|JT843 T52 A6 T53
AK8 J75 AQ963 JT|742 T6432 T87 43|Q653 KQ K4 AK652|JT9 A98 J52 Q987
AQ T87 AK96 QJ76|K93 A6542 732 A4|JT754 KQ Q84 K95|862 J93 JT5 T832
A85 KQJ9 Q863 A4|T932 A2 K95 J987|KQJ64 3 42 KQ652|7 T87654 AJT7 T3
A7 Q63 KT7 AQ952|JT98632 T8 Q JT6|K54 KJ954 A4 K73|Q A72 J986532 84
AJ8 AQT87 54 KQ6|T72 J52 AK83 JT9|KQ943 K6 J92 A42|65 943 QT76 8753
Q3 K873 AK63 A53|JT92 QJ5 8542 74|K85 AT9 QT97 KJ2|A764 642 J QT986
KQT3 Q974 A9 AT7|98 AT5 QT85 9864|AJ6 K862 J73 K32|7542 J3 K642 QJ5
KQJ3 QT9 JT6 AK9|65 AJ4 A7 T76542|A97 86532 KQ83 Q|T842 K7 9542 J83
A6 AK95 KQT3 T42|K98742 73 J6 A93|Q53 QJT82 A54 Q8|JT 64 9872 KJ765
KT63 AT7 AKJ4 J8|J8 Q32 987532 72|A2 94 QT6 AKQ953|Q9754 KJ865  T64
KJ76 754 AKJ4 K6|T9 AJ8 T82 T9753|AQ5 QT962 Q97 A4|8432 K3 653 QJ82
K63 Q92 KQ7 KQJ8|Q8 T843 JT85 762|A9542 AK6 42 A93|JT7 J75 A963 T54
AQ2 KQ62 K9 K643|93 T5 QT3 QT9875|J84 J983 AJ87 A2|KT765 A74 6542 J
KQJ9 KJ2 K9 QJ64|65 Q743 432 T752|AT43 9865 AJ AK3|872 AT QT8765 98
QJT2 AT4 Q4 AQ73|874 K963 973 542|AK95 2 KJT86 KJ9|63 QJ875 A52 T86
A73 KJ987 KT3 A7|K65 Q653 AQ T654|JT AT42 52 KQJ32|Q9842  J98764 98
AKQ T853 AJ2 KT7|9865 Q7 T73 9852|JT4 AKJ9 K9 QJ63|732 642 Q8654 A4
Q94 AKJ 932 AJT7|J872 Q984 Q8 Q85|AT3 72 AKJ74 K63|K65 T653 T65 942
A4 A764 KQT2 KT5|QJ 532 J9865 Q63|K952 KQT8 A7 972|T8763 J9 43 AJ84
AK62 A87 K94 K75|3 J64 T763 QJ984|JT984 KQ93 AJ A2|Q75 T52 Q852 T63
A93 K63 AQT76 AT|QT875 J75 85 K64|K6 A9 J942 QJ952|J42 QT842 K3 873
AQJ3 965 AK7 K63|8642 KQ87 8642 T|K5 A32 QJT9 AJ75|T97 JT4 53 Q9842
6532 AKT AKT2 Q7|T8 QJ75 Q854 432|KQ 9863 6 AKJT96|AJ974 42 J973 85
K642 QT9 AKQ JT8|Q A654 932 K9643|AT7 K732 T874 A7|J9853 J8 J65 Q52
J872 A6 AJT6 AQ4|KQT53 9843 74 32|A94 QJ7 93 KJT65|6 KT52 KQ852 987
QJ K732 KQ42 KQ6|KT9832 Q 975 J97| AJ965 AJT3 AT54|A7654 T84 86 832
J84 A9 AJ97 AK54|KQ2 KT3 84 J9632|A5 Q874 KQ6532 8|T9763 J652 T QT7
AQT5 K64 QT AQ42|743 JT832 K764 6|K962 AQ A53 T853|J8 975 J982 KJ97
A53 A3 QJ64 KQ63|6 QJT864 9 JT984|KT98 K52 A872 A2|QJ742 97 KT53 75
AKQ42 KJ4 Q93 94|J9763 A86 J6 K83|5 Q953 AKT87 QJ6|T8 T72 542 AT752
J83 AKQT9 KQ4 T3|K974 742 9 AJ976|AQ2 85 AT65 KQ85|T65 J63 J8732 42
642 KQJ7 QT5 AKQ|AK987 942 64 T42|QJ5 T8 AK92 J963|T3 A653 J873 875
QT86 K3 AQ95 A92|J42 T94 743 KQJ6|A93 AJ7 KJT2 874|K75 Q8652 86 T53
T3 K97 AQJ73 AQ3|Q62 AJ63 T86 874|AKJ854 Q 954 KT2|97 T8542 K2 J965
KQ42 AQ9 K54 Q95|T63 JT74 T873 J8|J9 K863 AQJ62 AT|A875 52 9 K76432
KQ5 Q92 AK743 J6|AT3 K8765 52 A84|J984 A3 QJ KQ532|762 JT4 T986 T97
A65 KQ2 K83 K532|T4 AT94 AQ42 964|KQ82 J83 J976 A7|J973 765 T5 QJT8
KQ3 JT7 A97 AJ73|A6 952 KJT3 9862|JT4 AK3 Q52 KQ54|98752 Q864 864 T
J54 J2 KQJ3 AK98|KQ932 T74 T954 7|A7 AKQ983 A2 T43|T86 65 876 QJ652
A6 K732 AK5 J862|752 J8654 8642 T|K9843 AQ QJ7 Q93|QJT T9 T93 AK754
K87 AKT74 J98 A9|J964 Q98 7643 86|T52 65 AKQ2 KJ75|AQ3 J32 T5 QT432
K42 AT43 AKJT Q8|T965 75 Q42 J762|A7 KQJ9 9753 KT4|QJ83 862 86 A953
A742 AT92 AKQ T4|KJT65 4 863 AJ63|3 KQ865 JT2 KQ97|Q98 J73 9754 852
AT65 T932 AK7 A7|Q7 54 QJ943 T864|J8 AKJ T865 KJ52|K9432 Q876 2 Q93
KQ75 AK5 QJ7 862|6 JT94 KT9832 J7|J82 Q632 A4 AQ54|AT943 87 65 KT93
K74 QJ8 AKQ96 92|T965 T6 T43 A643|AQJ83 A97 J KJ87|2 K5432 8752 QT5
KJ3 K76 AK953 J6|AT65 92 762 K974|Q8742 J5 QJ AQ52|9 AQT843 T84 T83
752 A72 AJ8 AQ83|KT K9853 Q7 KJ54|AQJ4 JT6 KT63 T9|9863 Q4 9542 762
Q76 Q652 KQJ7 AJ|9542 T8 AT2 Q952|AKT AK43 853 864|J83 J97 964 KT73
J7 A92 AQJ43 A75|AT63 QT7 72 8643|Q95 J43 K85 KQT2|K842 K865 T96 J9
AT7 AT62 94 AKQ2|Q84 98 QT8653 63|K32 KQ AJ7 J9754|J965 J7543 K2 T8
A9 J654 AQ8 AT43|53 T9 T97632 J62|J6 AKQ82 KJ 9875|KQT8742 73 54 KQ
JT87 AK2 A85 QJ3|AKQ543 8 J9 9875|92 J75 K432 AKT6|6 QT9643 QT76 42
AK5 KQJ42 KJ 872|J9643 T6 95 T643|87 A873 AQ6 KQJ9|QT2 95 T87432 A5
AJT74 AQJ 92 K32|Q62 8764 QT753 5|K95 T93 K8 AQJ97|83 K52 AJ64 T864
Q2 K73 AJ4 AKT76|A9543  T9832 542|JT6 AQJ964 Q6 J3|K87 T852 K75 Q98
QT76 AK Q982 A97|KJ854 Q6 KT6 J86|A3 J2 AJ53 KQ543|92 T987543 74 T2
J42 Q6 AK5 AJT54|Q873 932 JT8632 |A5 AJ54 Q974 Q87|KT96 KT87  K9632
A53 JT5 QT5 AKQ7|J74 A942 AJ98 86|KT62 KQ K4 JT932|Q98 8763 7632 54
AKT95 Q76 A3 Q53|Q7 854 K65 AT874|83 AKJ2 J972 K62|J642 T93 QT84 J9
AK63 AQ9 Q764 T7|74 JT AJ852 Q985|JT2 K742 K9 A632|Q985 8653 T3 KJ4
A98 QJ87 A654 A2|QT643 65 JT72 93|KJ75 AKT4 8 QT85|2 932 KQ93 KJ764
J972 AK86 KQ A53|QT54 43 9864 T64|AK8 QJT95 JT73 2|63 72 A52 KQJ987
AQ52 A86 AT8 K98|864 K754 J962 T7|K7 J932 KQ43 Q32|JT93 QT 75 AJ654
AQT8 83 AJ32 AT6|753 JT65 KQT J52|KJ94 AQ 876 KQ83|62 K9742 954 974
AK76 63 T64 AKQ4|J432 K75 J8532 7|Q985 J982 AKQ9 2|T AQT4 7 JT98653
KJ763 QT3 AQ6 K6|T5 J5 KJT982 853|A9 AK764 754 Q42|Q842 982 3 AJT97
J7 AJ97 AJ6 KQ73|Q852 8432 K7432 |AKT3 KQT5 95 T95|964 6 QT8 AJ8642
A742 AQ7 A76 J54|QJ6 986532 K 982|T53 K Q9854 AK76|K98 JT4 JT32 QT3
Q85 AKJ74 A2 K83|J32 832 954 9542|AK964 95 KQT8 A7|T7 QT6 J763 QJT6
KQ AJ943 K62 Q63|J98 85 QT83 A875|AT762 KT76 J KJ9|543 Q2 A9754 T42
K75 Q4 KQT3 AQ95|42 T9 8765 KJT82|AJ96 AKJ75 A2 76|QT83 8632 J94 43
K64 AKQJ T5 KT74|JT82 975 J4 A532|A5 8643 AQ962 Q9|Q973 T2 K873 J86
AK QJ52 KT8 Q543|Q875 87 A97543 2|T4 AKT643 Q KT97|J9632 9 J62 AJ86
Q72 AKJ4 Q3 A543|T96 T85 74 JT762|A84 Q73 AT62 KQ9|KJ53 962 KJ985 8
AKT KJ8 AT53 952|Q42 QT65 Q72 643|J863 A2 K964 KQT|975 9743 J8 AJ87
AQ53 Q853 K6 A86|986 J972 732 974|KJ42 K64 J5 KJ52|T7 AT AQT984 QT3
T642 A9 KQJ KQ83|Q5 K8 T9732 7654|KJ93 QJ642 6 AT2|A87 T753 A854 J9
