Q93 KJ83 A32 AJ4|J7 Q9754 T865 T7|AK652 AT J94 Q62|T84 62 KQ7 K9853
A42 J85 KQJ4 AQ7|9 T643 93 KJ9652|QT KQ72 AT8762 8|KJ87653 A9 5 T43
AT9 AQ65 K5 Q642|K85432 9742 8 75|J76 KJ3 QT2 AKJT|Q T8 AJ97643 983
AK5 AT873 76 AT8|QJ93 52 QJ532 Q4|T72 KQ6 K8 KJ962|864 J94 AT94 753
A62 53 AKT3 KJ54|Q987 AJT 98 AT87|K54 K762 QJ5 Q63|JT3 Q984 7642 92
A76 A52 AJ3 A852|J85 Q QT87542 KT|KQ4 KT84 K9 J764|T932 J9763 6 Q93
AQJ8 T3 KQJ3 K96|T9743 K97 T4 AJ5|65 AQJ54 A92 T87|K2 862 8765 Q432
AJ9 AJT52 84 KQ2|K 764 KQ652 J987|532 KQ3 AT97 A65|QT8764 98 J3 T43
Q32 AQ74 K8 AQ85|AT7 JT AJ972 T42|KJ65 K86 QT54 KJ|984 9532 63 9763
AQT5 Q65 AK6 974|74 KT9 843 Q8632|KJ32 A874 JT92 A|986 J32 Q75 KJT5
AJ6 A97 K93 A543|Q98752 K5 J8 QT7|KT4 QT83 AQT62 9|3 J642 754 KJ862
T85 QT AQ93 AK97|Q9643 3 T8652 65|KJ7 AK8754 J7 JT|A2 J962 K4 Q8432
AQ Q74 Q97 AJT75|7532 J8 T42 KQ82|K984 AK6532 J83 |JT6 T9 AK65 9643
KQ3 QJ6 QJ3 AT43|96 AK8742 T95 J2|AJT87  A87 K9865|542 T953 K642 Q7
A9 K95 AQ54 K965|T2 QT4 KJ973 JT8|KQ8743 A83 T6 A4|J65 J762 82 Q732
Q63 AKQT9 J3 AT2|J5 J74 98654 Q95|AK872 52 Q2 K864|T94 863 AKT7 J73
AJ 864 AKJT4 A65|9764 QJ 62 K8742|KQ2 AK53 953 T93|T853 T972 Q87 QJ
AT3 Q85 A5 AQ653|J752 932 J2 9842|K9 AJT764 KT7 K7|Q864 K Q98643 JT
Q4 A76 A854 AK32|73 95432 Q63 754|KJT96 K KJ9 Q986|A852 QJT8 T72 JT
T7 AKT KQ62 KT62|AQ93 632 JT94 43|K8 J9754 A73 AJ5|J6542 Q8 85 Q987
AKQ87 K4 643 A93|T92 T976 T82 T64| QJ32 AQJ975 Q87|J6543 A85 K KJ52
J8 AQ63 AT76 A93|T72 J87542 53 JT|KQ63 T9 KQJ9 K74|A954 K 842 Q8652
A7 A93 QJ95 AT82|T9652 J84 84 K75|KJ8 QT752 A32 J6|Q43 K6 KT76 Q943
A953 A7 AKQ8 764|K642 8532 97 QT5|Q KJ6 JT6543 AK3|JT87 QT94 2 J982
AT96 A743 K86 A2|KQ 952 AT43 KT97|742 KQJT6 Q7 QJ4|J853 8 J952 8653
AKQ53 J73 A6 Q73|T764 K852 73 652|J A J98542 AK984|982 QT964 KQT JT
K95 K984 K85 AK7|QJ3 65 AT97432 3|AT762 A2 6 QJ964|84 QJT73 QJ T852
KT5 K53 AKQ75 96|J74 Q8 J963 KJT3|Q9863 AJ7 T8 A52|A2 T9642 42 Q874
AQ6 854 AK98 KJ7|9432 T973 Q42 84|K85 KJ62  AT9652|JT7 AQ JT7653 Q3
KQJ 7532 Q76 AK7|A643 QT6 T54 QT2|T87 AKJ94 AJ3 63|952 8 K982 J9854
