Q53 AKT74 A8 QJ4|AJ984 J8 QT6 K98|KT2 Q95 K754 T52|76 632 J932 A763
AJ32 A65 K3 AJ63|QT874 J4 QT4 Q75| K983 AJ9865 T98|K965 QT72 72 K42
K4 KJ74 AQJ8 Q86|AJT63 Q5 9 KT543|75 T3 K652 AJ972|Q982 A9862 T743 
QT5 K82 QJ3 AK96|976 964 A94 Q752|J843 AQJ KT652 T|AK2 T753 87 J843
A7 KQ98 K97 A642|J95 7 QT3 JT9753|KQT8643 JT5 82 Q|2 A6432 AJ654 K8
T743 AQ AKT7 KJ6|J5 5432 QJ9432 7|A9 86 8 AQT95432|KQ862 KJT97 65 8
AK753 AQ2 QT3 75|Q942 T53 2 KT983| KJ9876 9874 QJ6|JT86 4 AKJ65 A42
J97 62 KQ984 AKQ|AQ QJ4 AJT2 9752|K4 AK9873 763 T4|T86532 T5 5 J863
AK4 982 AQ872 Q5|JT7 AT54 J53 A73|832 J K964 KT964|Q965 KQ763 T J82
AJ82 Q6 AQT5 QJ3|QT76 K87542 J9 6|43 AJT9 K8642 K4|K95 3 73 AT98752
K863 AQ83 K96 A5|AJ2 76 AQJT2 T98|Q94 K542 875 KJ2|T75 JT9 43 Q7643
KJ4 AKT6 97 A743|T876 Q97 Q2 QT82|A52 543 8654 K65|Q93 J82 AKJT3 J9
KT8 A853 A53 AT4|AQ763 6 K876 KJ2|J52 KQ942 QJ4 65|94 JT7 T92 Q9873
KQ94 75 AK83 A94|T53 A98 QJT2 JT5|AJ876 KT64 95 62|2 QJ32 764 KQ873
Q32 AQJ98 K4 QJT|KT74 72 A952 A65|AJ85 KT J873 982|96 6543 QT6 K743
AKJ76 T9 Q73 AJ2|53 AQ42 952 KQ93|Q84 KJ73 A86 865|T92 865 KJT4 T74
AK762 AJ Q97 Q87|Q54 K9642 K52 54|983 QT8753 AT A2|JT  J8643 KJT963
AQ98 AK2 K4 J976|JT3 QJ96 AQT75 2|K54 T843 962 KQ4|762 75 J83 AT853
J7 A982 KQJ A954|AK9865 K653 9 32|2 J4 AT86542 KQT|QT43 QT7 73 J876
875 AKQ7 A5 AT83|AKT9 J53 Q43 962|J643 T4 KJ72 K74|Q2 9862 T986 QJ5
63 KQ98 AK7 AT53|T85 2 QJ642 KQ64|AK9742 JT75 83 7|QJ A643 T95 J982
AQT8 AJT6 Q93 A8|963 Q543 AKJ74 6|7542 K98  KJT543|KJ 72 T8652 Q972
