GameNo;SouthHcp;SouthControls;NorthHcp;NorthControls;HandType;NTTricks;SuitTricks;SumControls;SumHcp;NTMaxLength
1;13;5;15;4;ntshape;10;-1;9;28;4
2;11;3;16;6;onesuit;10;10;9;27;5
3;11;4;15;3;ntshape;9;-1;7;26;4
4;13;3;15;5;other;11;-1;8;28;5
5;11;4;16;5;other;7;-1;9;27;4
6;11;1;15;7;other;9;-1;8;26;4
7;12;4;16;4;ntshape;10;-1;8;28;4
8;13;4;16;6;ntshape;12;-1;10;29;5
9;14;5;17;5;ntshape;12;-1;10;31;4
10;13;4;15;4;ntshape;10;-1;8;28;5
11;13;4;16;7;ntshape;12;-1;11;29;4
12;11;3;15;6;ntshape;10;-1;9;26;4
13;13;3;17;7;other;11;-1;10;30;5
14;14;4;15;7;other;11;-1;11;29;4
15;14;5;15;6;other;12;-1;11;29;5
16;11;3;15;7;onesuit;13;13;10;26;4
17;14;5;17;6;ntshape;11;-1;11;31;4
18;11;2;15;6;ntshape;11;-1;8;26;4
19;11;5;16;5;other;10;-1;10;27;4
20;13;5;15;6;onesuit;11;12;11;28;4
21;11;3;16;6;ntshape;9;-1;9;27;4
22;12;5;15;4;ntshape;10;-1;9;27;4
23;13;5;16;7;ntshape;11;-1;12;29;5
24;12;3;16;6;onesuit;10;11;9;28;5
25;14;6;16;3;other;12;-1;9;30;4
26;12;4;16;5;ntshape;11;-1;9;28;4
27;11;2;17;6;other;10;-1;8;28;4
28;12;4;16;7;ntshape;11;-1;11;28;4
29;11;2;17;6;other;10;-1;8;28;4
30;13;3;17;7;ntshape;11;-1;10;30;4
31;11;3;15;4;other;8;-1;7;26;4
32;14;4;15;5;ntshape;11;-1;9;29;4
33;11;1;15;7;onesuit;8;10;8;26;4
34;11;4;15;5;ntshape;10;-1;9;26;5
35;12;4;15;5;ntshape;9;-1;9;27;5
36;13;5;15;5;other;11;-1;10;28;5
37;13;5;16;6;ntshape;11;-1;11;29;5
38;14;5;15;5;ntshape;11;-1;10;29;4
39;12;3;15;5;other;9;-1;8;27;5
40;13;4;16;6;twosuit;11;-1;10;29;4
41;11;3;15;5;other;8;-1;8;26;4
42;14;5;15;5;ntshape;11;-1;10;29;4
43;11;3;16;6;other;9;-1;9;27;4
44;16;3;16;7;ntshape;11;-1;10;32;4
45;11;2;15;7;other;8;-1;9;26;4
46;12;4;15;6;ntshape;11;-1;10;27;4
47;11;2;15;5;ntshape;9;-1;7;26;5
48;12;3;17;7;ntshape;11;-1;10;29;5
49;14;4;17;5;twosuit;12;-1;9;31;5
50;11;3;16;5;ntshape;9;-1;8;27;4
51;12;3;15;5;ntshape;9;-1;8;27;4
52;12;3;17;7;other;12;-1;10;29;4
53;17;5;16;7;ntshape;13;-1;12;33;5
54;11;4;16;5;other;10;-1;9;27;4
55;12;2;15;7;onesuit;9;10;9;27;5
56;11;4;15;5;ntshape;8;-1;9;26;5
57;12;4;16;6;ntshape;10;-1;10;28;4
58;13;5;15;5;other;11;-1;10;28;5
59;12;3;17;5;twosuit;7;-1;8;29;4
60;13;4;16;5;ntshape;10;-1;9;29;5
61;12;4;15;4;ntshape;11;-1;8;27;5
62;15;4;17;7;ntshape;12;-1;11;32;5
63;11;3;15;5;twosuit;10;-1;8;26;5
64;11;2;15;5;twosuit;8;-1;7;26;4
65;12;4;15;6;other;9;-1;10;27;4
66;13;4;15;5;ntshape;11;-1;9;28;5
67;11;3;15;6;ntshape;9;-1;9;26;5
68;15;4;15;5;other;11;-1;9;30;4
69;11;3;16;7;other;8;-1;10;27;5
70;11;4;15;6;onesuit;9;10;10;26;4
71;11;3;15;5;ntshape;10;-1;8;26;4
72;11;3;17;7;ntshape;9;-1;10;28;4
73;16;5;17;5;ntshape;12;-1;10;33;4
74;14;4;16;5;ntshape;11;-1;9;30;4
75;11;3;15;5;ntshape;9;-1;8;26;5
76;13;4;17;6;ntshape;12;-1;10;30;4
77;12;3;17;7;ntshape;12;-1;10;29;5
78;14;4;16;6;other;12;-1;10;30;4
79;11;3;15;4;onesuit;6;9;7;26;4
80;11;4;17;6;other;11;-1;10;28;4
81;12;4;16;5;other;9;-1;9;28;4
82;13;4;15;5;onesuit;12;13;9;28;5
83;12;4;17;6;onesuit;12;12;10;29;4
84;12;5;17;4;onesuit;8;12;9;29;5
85;11;3;16;6;other;7;-1;9;27;5
86;11;4;16;4;other;10;-1;8;27;4
87;14;6;16;4;ntshape;10;-1;10;30;4
88;12;4;16;5;twosuit;8;-1;9;28;4
89;12;3;17;5;ntshape;7;-1;8;29;5
90;15;5;15;6;other;13;-1;11;30;4
91;13;5;17;6;ntshape;9;-1;11;30;4
92;13;4;16;5;other;9;-1;9;29;4
93;13;5;16;6;ntshape;12;-1;11;29;4
94;16;5;15;5;onesuit;12;12;10;31;5
95;13;4;16;6;onesuit;13;13;10;29;4
96;12;5;17;5;ntshape;8;-1;10;29;4
97;11;4;15;5;twosuit;9;-1;9;26;5
98;12;3;15;4;other;11;-1;7;27;4
99;11;3;16;5;ntshape;8;-1;8;27;4
100;14;6;16;4;ntshape;12;-1;10;30;5
